personId,name,rank,match_personId,match_name,match_team,match_pos,dist
14724,S. Vidal,9,2321121,J. Feldeine,CNF,G,27.7
14724,S. Vidal,10,617418,S. Vescovi,CAP,PG,27.7
14724,S. Vidal,11,1334179,F. Garcia,WEL,G,27.9
14724,S. Vidal,12,1346396,S. Fernandez,MAL,G,28.3
1338848,M. Giano,1,1989296,T. Rodriguez,BIG,G,18.2
1338848,M. Giano,2,1334179,F. Garcia,WEL,G,19.0
1338848,M. Giano,3,16511,S. Moglia,WEL,F,22.1
1338848,M. Giano,4,2399946,J. Webster,MAL,PG,23.8
1338848,M. Giano,5,2534746,E. Demers,UUN,G,24.0
1338848,M. Giano,6,701864,D. Sims,AGU,PG,24.2
1338848,M. Giano,7,2589974,E. Weaver,DSC,G,24.4
1338848,M. Giano,8,2321121,J. Feldeine,CNF,G,24.5
1338848,M. Giano,9,1942261,M. Espinosa,BIG,G,24.8
1338848,M. Giano,10,17379,P. Rusch,COR,G,25.9
1338848,M. Giano,11,16177,M. Romero,MAL,G,26.0
1338848,M. Giano,12,2324181,D. Hicks,BIG,G,26.5
16511,S. Moglia,1,1722930,P. Prieto,CNF,G,17.5
16511,S. Moglia,2,1894506,A. Mendez,CNF,G,21.0
16511,S. Moglia,3,1642412,S. Hogan,CAP,F,21.5
16511,S. Moglia,4,1989296,T. Rodriguez,BIG,G,22.0
16511,S. Moglia,5,1338848,M. Giano,UAT,PG,22.1
16511,S. Moglia,6,1676246,N. Lema,CAP,PG,22.2
16511,S. Moglia,7,17044,F. Verrone,GOE,PF,23.3
16511,S. Moglia,8,16857,G. Iglesias,BIG,PF,23.4
16511,S. Moglia,9,539387,F. Soto,DSC,F,23.4
16511,S. Moglia,10,16807,A. Lopez,UAT,SG,23.7
16511,S. Moglia,11,1942261,M. Espinosa,BIG,G,23.9
16511,S. Moglia,12,16717,G. Semiglia,HYM,F,24.0
2603089,C. Alaekwe,1,191820,F. Terra,DSC,G,20.0
2603089,C. Alaekwe,2,2534718,J. Matos,BIG,PG,21.3
2603089,C. Alaekwe,3,909792,A. Arevalo,WEL,F,24.0
2603089,C. Alaekwe,4,811063,N. Pomoli,CAP,PG,25.6
2603089,C. Alaekwe,5,1346396,S. Fernandez,MAL,G,26.1
2603089,C. Alaekwe,6,17101,J. Santiso,AGU,G,27.8
2603089,C. Alaekwe,7,2577763,A. Gilder Jr.,COR,PG,29.3
2603089,C. Alaekwe,8,1714808,B. Curadossi,UUN,PG,30.4
2603089,C. Alaekwe,9,2620614,A. Spruill,COR,G,30.9
2603089,C. Alaekwe,10,727814,I. Xavier,HYM,F,32.9
2603089,C. Alaekwe,11,16508,A. Acosta,GOE,G,33.4
2603089,C. Alaekwe,12,43252,M. Sarni,UUN,G,34.1
2620317,T. Ferguson,1,62685,S. Massa,UUN,F,19.6
2620317,T. Ferguson,2,1981004,D. Wright,DSC,PF,20.3
2620317,T. Ferguson,3,16717,G. Semiglia,HYM,F,22.8
2620317,T. Ferguson,4,961332,E. Bonet,GOE,PG,23.5
2620317,T. Ferguson,5,2619167,T. Cracknell,GOE,PG,23.6
2620317,T. Ferguson,6,16508,A. Acosta,GOE,G,24.3
2620317,T. Ferguson,7,17046,M. Zubiaurre,DSC,G,24.8
2620317,T. Ferguson,8,15257,F. Medina,COR,G,25.2
2620317,T. Ferguson,9,623893,L. Planells,COR,G,25.7
2620317,T. Ferguson,10,727814,I. Xavier,HYM,F,26.1
2620317,T. Ferguson,11,16807,A. Lopez,UAT,SG,26.6
2620317,T. Ferguson,12,17571,F. Pereiras,AGU,PG,26.7
16717,G. Semiglia,1,961332,E. Bonet,GOE,PG,17.5
16717,G. Semiglia,2,15259,S. Zanotta,HYM,G,17.6
16717,G. Semiglia,3,16508,A. Acosta,GOE,G,17.6
16717,G. Semiglia,4,1334179,F. Garcia,WEL,G,18.6
16717,G. Semiglia,5,17071,F. Bavosi,CAP,G,18.9
16717,G. Semiglia,6,16177,M. Romero,MAL,G,19.1
16717,G. Semiglia,7,15257,F. Medina,COR,G,19.4
16717,G. Semiglia,8,1989296,T. Rodriguez,BIG,G,19.6
16717,G. Semiglia,9,1346396,S. Fernandez,MAL,G,19.7
16717,G. Semiglia,10,15216,E. Gonzalez,COR,F,21.1
16717,G. Semiglia,11,623893,L. Planells,COR,G,21.8
16717,G. Semiglia,12,2534738,I. Ross,UAT,G,22.0
16857,G. Iglesias,1,17677,B. Barrera,CNF,F,18.0
16857,G. Iglesias,2,571401,X. Couste,GOE,F,18.0
16857,G. Iglesias,3,16807,A. Lopez,UAT,SG,18.2
16857,G. Iglesias,4,539387,F. Soto,DSC,F,18.3
16857,G. Iglesias,5,17046,M. Zubiaurre,DSC,G,20.3
16857,G. Iglesias,6,968070,G. Souza,UAT,F,21.6
16857,G. Iglesias,7,16717,G. Semiglia,HYM,F,22.5
16857,G. Iglesias,8,16511,S. Moglia,WEL,F,23.4
16857,G. Iglesias,9,1981004,D. Wright,DSC,PF,23.4
16857,G. Iglesias,10,2486578,A. Nation,HYM,G,23.6
16857,G. Iglesias,11,1709203,E. Holt,UUN,PF,23.7
16857,G. Iglesias,12,1642407,D. Pena Garcia,WEL,F,23.9
15257,F. Medina,1,16717,G. Semiglia,HYM,F,19.4
15257,F. Medina,2,961332,E. Bonet,GOE,PG,21.3
15257,F. Medina,3,16508,A. Acosta,GOE,G,22.1
